158 pounds,155-159 pounds,150-159 pounds,150-169 pounds,130-169 pounds,* pounds
159 pounds,155-159 pounds,150-159 pounds,150-169 pounds,130-169 pounds,* pounds
160 pounds,160-164 pounds,160-169 pounds,150-169 pounds,130-169 pounds,* pounds
161 pounds,160-164 pounds,160-169 pounds,150-169 pounds,130-169 pounds,* pounds
162 pounds,160-164 pounds,160-169 pounds,150-169 pounds,130-169 pounds,* pounds
163 pounds,160-164 pounds,160-169 pounds,150-169 pounds,130-169 pounds,* pounds
164 pounds,160-164 pounds,160-169 pounds,150-169 pounds,130-169 pounds,* pounds
165 pounds,165-169 pounds,160-169 pounds,150-169 pounds,130-169 pounds,* pounds
166 pounds,165-169 pounds,160-169 pounds,150-169 pounds,130-169 pounds,* pounds
167 pounds,165-169 pounds,160-169 pounds,150-169 pounds,130-169 pounds,* pounds
168 pounds,165-169 pounds,160-169 pounds,150-169 pounds,130-169 pounds,* pounds
169 pounds,165-169 pounds,160-169 pounds,150-169 pounds,130-169 pounds,* pounds
170 pounds,170-174 pounds,170-179 pounds,170-189 pounds,170-209 pounds,* pounds
171 pounds,170-174 pounds,170-179 pounds,170-189 pounds,170-209 pounds,* pounds
172 pounds,170-174 pounds,170-179 pounds,170-189 pounds,170-209 pounds,* pounds
173 pounds,170-174 pounds,170-179 pounds,170-189 pounds,170-209 pounds,* pounds
174 pounds,170-174 pounds,170-179 pounds,170-189 pounds,170-209 pounds,* pounds
175 pounds,175-179 pounds,170-179 pounds,170-189 pounds,170-209 pounds,* pounds
176 pounds,175-179 pounds,170-179 pounds,170-189 pounds,170-209 pounds,* pounds
177 pounds,175-179 pounds,170-179 pounds,170-189 pounds,170-209 pounds,* pounds
178 pounds,175-179 pounds,170-179 pounds,170-189 pounds,170-209 pounds,* pounds
179 pounds,175-179 pounds,170-179 pounds,170-189 pounds,170-209 pounds,* pounds
180 pounds,180-184 pounds,180-189 pounds,170-189 pounds,170-209 pounds,* pounds
181 pounds,180-184 pounds,180-189 pounds,170-189 pounds,170-209 pounds,* pounds
182 pounds,180-184 pounds,180-189 pounds,170-189 pounds,170-209 pounds,* pounds
183 pounds,180-184 pounds,180-189 pounds,170-189 pounds,170-209 pounds,* pounds
184 pounds,180-184 pounds,180-189 pounds,170-189 pounds,170-209 pounds,* pounds
185 pounds,185-189 pounds,180-189 pounds,170-189 pounds,170-209 pounds,* pounds
186 pounds,185-189 pounds,180-189 pounds,170-189 pounds,170-209 pounds,* pounds
187 pounds,185-189 pounds,180-189 pounds,170-189 pounds,170-209 pounds,* pounds
188 pounds,185-189 pounds,180-189 pounds,170-189 pounds,170-209 pounds,* pounds
189 pounds,185-189 pounds,180-189 pounds,170-189 pounds,170-209 pounds,* pounds
190 pounds,190-194 pounds,190-199 pounds,190-209 pounds,170-209 pounds,* pounds
191 pounds,190-194 pounds,190-199 pounds,190-209 pounds,170-209 pounds,* pounds
192 pounds,190-194 pounds,190-199 pounds,190-209 pounds,170-209 pounds,* pounds
193 pounds,190-194 pounds,190-199 pounds,190-209 pounds,170-209 pounds,* pounds
194 pounds,190-194 pounds,190-199 pounds,190-209 pounds,170-209 pounds,* pounds
195 pounds,195-199 pounds,190-199 pounds,190-209 pounds,170-209 pounds,* pounds
196 pounds,195-199 pounds,190-199 pounds,190-209 pounds,170-209 pounds,* pounds
197 pounds,195-199 pounds,190-199 pounds,190-209 pounds,170-209 pounds,* pounds
198 pounds,195-199 pounds,190-199 pounds,190-209 pounds,170-209 pounds,* pounds
199 pounds,195-199 pounds,190-199 pounds,190-209 pounds,170-209 pounds,* pounds
200 pounds,200-204 pounds,200-209 pounds,190-209 pounds,170-209 pounds,* pounds
201 pounds,200-204 pounds,200-209 pounds,190-209 pounds,170-209 pounds,* pounds
202 pounds,200-204 pounds,200-209 pounds,190-209 pounds,170-209 pounds,* pounds
203 pounds,200-204 pounds,200-209 pounds,190-209 pounds,170-209 pounds,* pounds
204 pounds,200-204 pounds,200-209 pounds,190-209 pounds,170-209 pounds,* pounds
205 pounds,205-209 pounds,200-209 pounds,190-209 pounds,170-209 pounds,* pounds
206 pounds,205-209 pounds,200-209 pounds,190-209 pounds,170-209 pounds,* pounds
207 pounds,205-209 pounds,200-209 pounds,190-209 pounds,170-209 pounds,* pounds
208 pounds,205-209 pounds,200-209 pounds,190-209 pounds,170-209 pounds,* pounds
209 pounds,205-209 pounds,200-209 pounds,190-209 pounds,170-209 pounds,* pounds
210 pounds,210-214 pounds,210-219 pounds,210-229 pounds,210-259 pounds,* pounds
211 pounds,210-214 pounds,210-219 pounds,210-229 pounds,210-259 pounds,* pounds
212 pounds,210-214 pounds,210-219 pounds,210-229 pounds,210-259 pounds,* pounds
213 pounds,210-214 pounds,210-219 pounds,210-229 pounds,210-259 pounds,* pounds
214 pounds,210-214 pounds,210-219 pounds,210-229 pounds,210-259 pounds,* pounds
215 pounds,215-219 pounds,210-219 pounds,210-229 pounds,210-259 pounds,* pounds
216 pounds,215-219 pounds,210-219 pounds,210-229 pounds,210-259 pounds,* pounds
217 pounds,215-219 pounds,210-219 pounds,210-229 pounds,210-259 pounds,* pounds
218 pounds,215-219 pounds,210-219 pounds,210-229 pounds,210-259 pounds,* pounds
219 pounds,215-219 pounds,210-219 pounds,210-229 pounds,210-259 pounds,* pounds
220 pounds,220-224 pounds,220-229 pounds,210-229 pounds,210-259 pounds,* pounds
221 pounds,220-224 pounds,220-229 pounds,210-229 pounds,210-259 pounds,* pounds
222 pounds,220-224 pounds,220-229 pounds,210-229 pounds,210-259 pounds,* pounds
223 pounds,220-224 pounds,220-229 pounds,210-229 pounds,210-259 pounds,* pounds
224 pounds,220-224 pounds,220-229 pounds,210-229 pounds,210-259 pounds,* pounds
225 pounds,225-229 pounds,220-229 pounds,210-229 pounds,210-259 pounds,* pounds
226 pounds,225-229 pounds,220-229 pounds,210-229 pounds,210-259 pounds,* pounds
227 pounds,225-229 pounds,220-229 pounds,210-229 pounds,210-259 pounds,* pounds
228 pounds,225-229 pounds,220-229 pounds,210-229 pounds,210-259 pounds,* pounds
229 pounds,225-229 pounds,220-229 pounds,210-229 pounds,210-259 pounds,* pounds
230 pounds,230-234 pounds,230-239 pounds,230-249 pounds,210-259 pounds,* pounds
231 pounds,230-234 pounds,230-239 pounds,230-249 pounds,210-259 pounds,* pounds
232 pounds,230-234 pounds,230-239 pounds,230-249 pounds,210-259 pounds,* pounds
233 pounds,230-234 pounds,230-239 pounds,230-249 pounds,210-259 pounds,* pounds
234 pounds,230-234 pounds,230-239 pounds,230-249 pounds,210-259 pounds,* pounds
235 pounds,235-239 pounds,230-239 pounds,230-249 pounds,210-259 pounds,* pounds
236 pounds,235-239 pounds,230-239 pounds,230-249 pounds,210-259 pounds,* pounds
237 pounds,235-239 pounds,230-239 pounds,230-249 pounds,210-259 pounds,* pounds
238 pounds,235-239 pounds,230-239 pounds,230-249 pounds,210-259 pounds,* pounds
239 pounds,235-239 pounds,230-239 pounds,230-249 pounds,210-259 pounds,* pounds
240 pounds,240-244 pounds,240-249 pounds,230-249 pounds,210-259 pounds,* pounds
241 pounds,240-244 pounds,240-249 pounds,230-249 pounds,210-259 pounds,* pounds
242 pounds,240-244 pounds,240-249 pounds,230-249 pounds,210-259 pounds,* pounds
243 pounds,240-244 pounds,240-249 pounds,230-249 pounds,210-259 pounds,* pounds
244 pounds,240-244 pounds,240-249 pounds,230-249 pounds,210-259 pounds,* pounds
245 pounds,245-249 pounds,240-249 pounds,230-249 pounds,210-259 pounds,* pounds
246 pounds,245-249 pounds,240-249 pounds,230-249 pounds,210-259 pounds,* pounds
247 pounds,245-249 pounds,240-249 pounds,230-249 pounds,210-259 pounds,* pounds
248 pounds,245-249 pounds,240-249 pounds,230-249 pounds,210-259 pounds,* pounds
249 pounds,245-249 pounds,240-249 pounds,230-249 pounds,210-259 pounds,* pounds
250 pounds,250-254 pounds,250-259 pounds,250-259 pounds,210-259 pounds,* pounds
251 pounds,250-254 pounds,250-259 pounds,250-259 pounds,210-259 pounds,* pounds
252 pounds,250-254 pounds,250-259 pounds,250-259 pounds,210-259 pounds,* pounds
253 pounds,250-254 pounds,250-259 pounds,250-259 pounds,210-259 pounds,* pounds
254 pounds,250-254 pounds,250-259 pounds,250-259 pounds,210-259 pounds,* pounds
255 pounds,255-259 pounds,250-259 pounds,250-259 pounds,210-259 pounds,* pounds
256 pounds,255-259 pounds,250-259 pounds,250-259 pounds,210-259 pounds,* pounds
257 pounds,255-259 pounds,250-259 pounds,250-259 pounds,210-259 pounds,* pounds
258 pounds,255-259 pounds,250-259 pounds,250-259 pounds,210-259 pounds,* pounds
259 pounds,255-259 pounds,250-259 pounds,250-259 pounds,210-259 pounds,* pounds
